"Something went wrong while generating the coupon code, please try again.","Något gick fel när genererar kupongkod, försök igen."
Schedule has been deleted successfully,Schema har tagits bort
Invalid Data.,Ogiltiga data.
Add/Edit Schedule,Lägg till / redigera Schedule
Schedule has been saved successfully.,Schemat har sparats.
Email has been sent successfully.,E-post har skickats.
"Something went wrong while sending the coupon email, please try again.","Något gick fel när du skickar kupongen e-post, försök igen."
Spin and Win,Spin och vinn
Knowband,Knowband
Settings saved successfully.,Inställningar sparats.
New Customer,Ny kund
No list found. (Verify Credentials),Ingen lista hittas. (Verifiera Credentials)
The Private Klaviyo API Key you have set is invalid.,Den privata Klaviyo API-nyckel du har ställt är ogiltig.
The Private Klaviyo API key you have set is no longer valid.,Den privata Klaviyo API-nyckel som du har ställt in är inte längre giltigt.
Unable to verify Klaviyo Private API Key.,Det går inte att kontrollera Klaviyo Private API-nyckel.
Mobile,Mobil
Tablet,Läsplatta
Desktop,Desktop
You have already taken advantage of this offer. Please try another email.,Du har redan dragit nytta av detta erbjudande. Försök med en annan e-post.
Not your lucky day today. Better Luck Next Time.,Inte din lyckodag idag. Bättre lycka nästa gång.
Error occurred while subscribing. Please try again later.,Ett fel uppstod när prenumerera. Vänligen försök igen senare.
Jan,jan
Feb,februari
Mar,mar
Apr,april
May,Maj
Jun,juni
Jul,juli
Aug,augusti
Sep,september
Oct,oktober
Nov,november
Dec,december
None,Ingen
Rose Day,Rose Day
Propose Day,föreslå Day
Chocolate Day,chokladdag
Teddy Day,Teddy Day
Promise Day,Promise Day
Hug Day,Kram dag
Kiss Day,Kiss Day
Valentine\'s Day,Alla hjärtans dag
Xmas Theme 1,Xmas Tema 1
Xmas Theme 2,Xmas Tema 2
Merry Christmas - Theme 1,Merry Christmas - Tema 1
Merry Christmas - Theme 2,God jul - Tema 2
Merry Christmas - Theme 3,God jul - Tema 3
Merry Christmas - Theme 4,God jul - Tema 4
Merry Christmas - Theme 5,God jul - Tema 5
Black Friday Theme1,Black Friday Theme1
Black Friday Theme2,Black Friday Theme2
Black Friday Theme3,Black Friday Theme3
Black Friday Theme4,Black Friday Theme4
Diwali Theme1,Diwali Theme1
Diwali Theme2,Diwali Theme2
Diwali Theme3,Diwali Theme3
Diwali Theme4,Diwali Theme4
Diwali Theme5,Diwali Theme5
Easter Theme1,påsk Theme1
Easter Theme2,påsk Theme2
Easter Theme3,påsk Theme3
Halloween Theme1,Halloween Theme1
Halloween Theme2,Halloween Theme2
Halloween Theme3,Halloween Theme3
Halloween Theme4,Halloween Theme4
Thanks Giving Theme1,Tack Ge Theme1
Happy New Year Theme1,Gott Nytt År Theme1
Happy New Year Theme2,Gott Nytt År Theme2
Happy New Year Theme3,Gott Nytt År Theme3
Happy New Year Theme4,Gott Nytt År Theme4
Happy New Year Theme5,Gott Nytt År Theme5
Happy New Year Theme6,Gott Nytt År Theme6
Happy New Year Theme7,Gott Nytt År Theme7
Wheel Design 1,Wheel Design 1
Wheel Design 2,Wheel Design 2
Look and Feel,Titta och känna
General Settings,Allmänna Inställningar
Display Settings,Bildskärmsinställningar
Theme Scheduling,tema Schemaläggning
Text Settings,Textinställningar
Special bonus unlocked,Special bonus olåst
You have a chance to win a nice big fat discount. Are you ready?,Du har en chans att vinna en fin stor fet rabatt. Är du redo?
"You can spin the wheel only once. If you win, you can claim your coupon for 1 day only!",Du kan snurra hjulet en gång. Om du vinner kan du få din kupong för endast en dag!
Email Settings,E-postinställningar
Only on wheel,Endast på hjul
Email Only,E-post Only
Email & Wheel,E-post & Wheel
Fire,Brand
Aqua,Aqua
Wind,Vind
Void,Tomhet
Earth,Earth
Return Statuses,Return Status
Coupon Code,kupongskod
Customer Email,Kund Email
Country,Land
Device,Enhet
Coupon Used,kupong Används
No,Nej
Yes,Ja
Coupon Generated On,Kupong som genereras på
Statistics,Statistik
