"Something went wrong while generating the coupon code, please try again.","Κάτι πήγε στραβά κατά τη δημιουργία του κώδικα κουπονιού, παρακαλώ προσπαθήστε ξανά."
Schedule has been deleted successfully,Πρόγραμμα έχει διαγραφεί με επιτυχία
Invalid Data.,Μη έγκυρα δεδομένα.
Add/Edit Schedule,Προσθήκη / Επεξεργασία Πρόγραμμα
Schedule has been saved successfully.,Πρόγραμμα έχει αποθηκευτεί με επιτυχία.
Email has been sent successfully.,Email έχει σταλεί με επιτυχία.
"Something went wrong while sending the coupon email, please try again.","Κάτι πήγε στραβά κατά την αποστολή του email κουπόνι, παρακαλούμε δοκιμάστε ξανά."
Spin and Win,Spin και κερδίστε
Knowband,Knowband
Settings saved successfully.,Οι ρυθμίσεις αποθηκεύτηκαν με επιτυχία.
New Customer,Νέος πελάτης
No list found. (Verify Credentials),Δεν βρέθηκαν λίστα. (Επαλήθευση των διαπιστευτηρίων)
The Private Klaviyo API Key you have set is invalid.,Η Ιδιωτική Klaviyo API Key έχετε σύνολο είναι άκυρη.
The Private Klaviyo API key you have set is no longer valid.,Το κλειδί API Ιδιωτικό Klaviyo έχετε σύνολο δεν είναι πλέον έγκυρη.
Unable to verify Klaviyo Private API Key.,Δεν είναι δυνατή η επαλήθευση Klaviyo Ιδιωτικό Κλειδί API.
Mobile,Κινητό
Tablet,Δισκίο
Desktop,Επιφάνεια εργασίας
You have already taken advantage of this offer. Please try another email.,Έχετε ήδη επωφεληθεί από την προσφορά αυτή. Δοκιμάστε ένα άλλο email.
Not your lucky day today. Better Luck Next Time.,Δεν είναι η τυχερή σου μέρα σήμερα. Καλύτερη τύχη την επόμενη φορά.
Error occurred while subscribing. Please try again later.,Προέκυψε σφάλμα κατά την εγγραφή. Παρακαλώ προσπάθησε ξανά αργότερα.
Jan,Jan
Feb,Φεβρουάριος
Mar,Παραμορφώνω
Apr,Απρίλιος
May,Ενδέχεται
Jun,Ιούνιος
Jul,Ιουλ
Aug,Αύγουστο
Sep,Σεπτέμβριος
Oct,Οκτώβριος
Nov,Νοέμβριος
Dec,Δεκέμβριος
