"Something went wrong while generating the coupon code, please try again.","حدث خطأ أثناء إنشاء رمز القسيمة, يرجى المحاولة مرة أخرى."
Schedule has been deleted successfully,لقد تم حذف الجدول بنجاح
Invalid Data.,بيانات غير صالحة.
Add/Edit Schedule,إضافة / تعديل الجدول
Schedule has been saved successfully.,تم حفظ الجدول بنجاح.
Email has been sent successfully.,تم ارسال البريد الالكتروني بنجاح.
"Something went wrong while sending the coupon email, please try again.","حدث خطأ أثناء إرسال البريد الإلكتروني القسيمة, يرجى المحاولة مرة أخرى."
Spin and Win,أدر واربح
Knowband,Knowband
Settings saved successfully.,إعدادات حفظ بنجاح.
New Customer,عميل جديد
No list found. (Verify Credentials),لم يتم العثور على القائمة. (التحقق من وثائق التفويض)
The Private Klaviyo API Key you have set is invalid.,والخاصة Klaviyo API مفتاح لديك مجموعة غير صالح.
The Private Klaviyo API key you have set is no longer valid.,مفتاح API Klaviyo الخاصة لديك مجموعة لم يعد صالحا.
Unable to verify Klaviyo Private API Key.,غير قادر على التحقق من Klaviyo الخاصة API مفتاح.
Mobile,التليفون المحمول
Tablet,لوح
Desktop,سطح المكتب
You have already taken advantage of this offer. Please try another email.,كنت قد اتخذت بالفعل الاستفادة من هذا العرض. يرجى المحاولة بريد إلكتروني آخر.
Not your lucky day today. Better Luck Next Time.,لا يومك محظوظ اليوم. حظ أوفر في المرة القادمة.
Error occurred while subscribing. Please try again later.,حدث خطأ أثناء الاشتراك. الرجاء معاودة المحاولة في وقت لاحق.
Jan,يناير
Feb,فبراير
Mar,مارس
Apr,أبريل
May,قد
Jun,يونيو
Jul,يوليو
Aug,أغسطس
Sep,سبتمبر
Oct,أكتوبر
Nov,نوفمبر
Dec,ديسمبر
None,لا شيء
Rose Day,يوم وردة
Propose Day,اقتراح يوم
Chocolate Day,يوم الشوكولاته
Teddy Day,يوم تيدي
Promise Day,يوم الوعد
Hug Day,يوم العناق
Kiss Day,قبلة اليوم
Valentine\'s Day,عيد الحب
Xmas Theme 1,عيد الميلاد موضوع 1
Xmas Theme 2,عيد الميلاد موضوع dois
Merry Christmas - Theme 1,عيد ميلاد سعيد - الموضوع رقم 1
Merry Christmas - Theme 2,عيد ميلاد سعيد - موضوع 2
Merry Christmas - Theme 3,عيد ميلاد سعيد - 3 موضوع
Merry Christmas - Theme 4,عيد ميلاد سعيد - المحور 4
Merry Christmas - Theme 5,عيد ميلاد سعيد - موضوع 5
Black Friday Theme1,يوم الجمعة الأسود THEME1
Black Friday Theme2,يوم الجمعة الأسود Theme2
Black Friday Theme3,يوم الجمعة الأسود Theme3
Black Friday Theme4,يوم الجمعة الأسود Theme4
Diwali Theme1,ديوالي THEME1
Diwali Theme2,ديوالي theme2
Diwali Theme3,ديوالي Theme3
Diwali Theme4,ديوالي Theme4
Diwali Theme5,ديوالي Theme5
Easter Theme1,عيد الفصح THEME1
Easter Theme2,عيد الفصح Theme2
Easter Theme3,عيد الفصح Theme3
Halloween Theme1,هالوين THEME1
Halloween Theme2,هالوين theme2
Halloween Theme3,هالوين Theme3
Halloween Theme4,هالوين Theme4
Thanks Giving Theme1,وبفضل منح THEME1
Happy New Year Theme1,سنة جديدة سعيدة THEME1
Happy New Year Theme2,سنة جديدة سعيدة Theme2
Happy New Year Theme3,سنة جديدة سعيدة Theme3
Happy New Year Theme4,سنة جديدة سعيدة Theme4
Happy New Year Theme5,سنة جديدة سعيدة Theme5
Happy New Year Theme6,سنة جديدة سعيدة Theme6
Happy New Year Theme7,سنة جديدة سعيدة Theme7
Wheel Design 1,عجلة تصميم 1
Wheel Design 2,عجلة تصميم 2
Look and Feel,انظر و اشعر
General Settings,الاعدادات العامة
Display Settings,اعدادات العرض
Theme Scheduling,موضوع جدولة
Text Settings,إعدادات النص
Special bonus unlocked,مكافأة خاصة مقفلة
