"Something went wrong while generating the coupon code, please try again.","Er is iets misgegaan tijdens het genereren van de coupon code, probeer het opnieuw."
Schedule has been deleted successfully,Schedule is met succes verwijderd
Invalid Data.,Onjuiste data.
Add/Edit Schedule,Add / Edit Schedule
Schedule has been saved successfully.,Schema is opgeslagen.
Email has been sent successfully.,E-mail is verzonden.
"Something went wrong while sending the coupon email, please try again.","Er is iets misgegaan bij het versturen van de coupon e-mail, probeer het opnieuw."
Spin and Win,Draai en Win
Knowband,Knowband
Settings saved successfully.,Instellingen succesvol opgeslagen.
New Customer,Nieuwe klant
No list found. (Verify Credentials),Geen lijst gevonden. (Verifiëren referentie)
The Private Klaviyo API Key you have set is invalid.,"De Private Klaviyo API-sleutel die u hebt ingesteld, is ongeldig."
The Private Klaviyo API key you have set is no longer valid.,De Private Klaviyo API-sleutel die u hebt ingesteld is niet langer geldig.
Unable to verify Klaviyo Private API Key.,Kan controleren Klaviyo Private API Key.
Mobile,mobiel
Tablet,Tablet
Desktop,Bureaublad
You have already taken advantage of this offer. Please try another email.,Je hebt al gebruik gemaakt van dit aanbod. Probeer het nog een e-mail.
Not your lucky day today. Better Luck Next Time.,Niet uw geluksdag vandaag. Volgende keer beter.
Error occurred while subscribing. Please try again later.,Fout bij het abonnement. Probeer het later opnieuw.
Jan,jan
Feb,februari
Mar,bederven
Apr,april
May,mei
Jun,juni
Jul,juli
Aug,augustus
Sep,september
Oct,oktober
Nov,november
Dec,december
None,Geen
Rose Day,Rose Day
Propose Day,voorstellen van de Dag
Chocolate Day,Dag van de chocolade
Teddy Day,Teddy Day
Promise Day,Promise Day
Hug Day,Knuffeldag
Kiss Day,Kiss Day
Valentine\'s Day,Valentijnsdag
Xmas Theme 1,Kerstmis Thema 1
Xmas Theme 2,Xmas Theme 2
Merry Christmas - Theme 1,Vrolijke Kerstmis - Thema 1
Merry Christmas - Theme 2,Vrolijke Kerstmis - Thema 2
Merry Christmas - Theme 3,Vrolijke Kerstmis - Thema 3
Merry Christmas - Theme 4,Vrolijke Kerstmis - Thema 4
Merry Christmas - Theme 5,Vrolijke Kerstmis - Thema 5
Black Friday Theme1,Black Friday Theme1
Black Friday Theme2,Black Friday Theme2
Black Friday Theme3,Black Friday Theme3
Black Friday Theme4,Black Friday Theme4
Diwali Theme1,Diwali Theme1
Diwali Theme2,Diwali Theme2
Diwali Theme3,Diwali Theme3
Diwali Theme4,Diwali Theme4
Diwali Theme5,Diwali Theme5
Easter Theme1,Pasen Theme1
Easter Theme2,Pasen Theme2
Easter Theme3,Pasen Theme3
Halloween Theme1,Halloween Theme1
Halloween Theme2,Halloween Theme2
Halloween Theme3,Halloween Theme3
Halloween Theme4,Halloween Theme4
Thanks Giving Theme1,Thanks Giving Theme1
Happy New Year Theme1,Gelukkig Nieuwjaar Theme1
Happy New Year Theme2,Gelukkig Nieuwjaar Theme2
Happy New Year Theme3,Gelukkig Nieuwjaar Theme3
Happy New Year Theme4,Gelukkig Nieuwjaar Theme4
Happy New Year Theme5,Gelukkig Nieuwjaar Theme5
Happy New Year Theme6,Gelukkig Nieuwjaar Theme6
Happy New Year Theme7,Gelukkig Nieuwjaar Theme7
Wheel Design 1,Wheel Design 1
Wheel Design 2,Wheel Design 2
Look and Feel,Look and Feel
General Settings,Algemene instellingen
Display Settings,Scherminstellingen
Theme Scheduling,thema Scheduling
Text Settings,Tekstinstellingen
Special bonus unlocked,Speciale bonus ontgrendeld
You have a chance to win a nice big fat discount. Are you ready?,Je hebt een kans om een ​​mooie dikke korting te winnen. Ben je klaar?
"You can spin the wheel only once. If you win, you can claim your coupon for 1 day only!","U kunt het wiel maar één keer draaien. Als je wint, kunt u uw coupon claimen voor slechts 1 dag!"
Email Settings,Email instellingen
Only on wheel,Alleen op wielen
Email Only,Alleen Email
Email & Wheel,E-mail & Wheel
Fire,Brand
Aqua,Aqua
Wind,Wind
Void,leegte
Earth,Aarde
Return Statuses,Return statussen
Coupon Code,coupon code
Customer Email,Klanten email
Country,land
Device,Apparaat
Coupon Used,coupon Gebruikt
No,Nee
Yes,Ja
Coupon Generated On,Coupon Generated On
Statistics,Statistieken
Email Marketing,Email reclame
User List,gebruikers lijst
Status,Toestand
Enabled,Ingeschakeld
Disabled,Gehandicapt
From Date,Van datum
To Date,Tot op heden
Action,Actie
Slice Settings,slice Instellingen
10% OFF,10% KORTING
Not Lucky Today,Niet Lucky Today
35% OFF,35% OFF
Opps! Sorry,Oeps! Sorry
15% OFF,15% OFF
Better Luck Next Time,Volgende keer beter
50% OFF,50% KORTING
Try Next Time,Probeer Next Time
12% OFF,12% OFF
Come Again,Come Again
5% OFF,5% OFF
Try Again,Probeer het opnieuw
First Name,Voornaam
Last Name,Achternaam
Email,E-mail
Created Date,gemaakt Date
CSV,CSV
Edit,Bewerk
Delete,Delete
Save Schedule,Save Schedule
Back,Terug
Save Settings,Instellingen opslaan
Email cannot be left blank,E-mail kan niet worden leeg gelaten
Not a valid email,Geen geldig e
a discount,een korting
Code copied.,Code gekopieerd.
First name cannot be left blank,Eerste naam kan niet worden leeg gelaten
Last name cannot be left blank,Laatste naam kan niet worden leeg gelaten
Hurrah! You've got,Hoera! Jij hebt
 discount. Lucky day!,korting. Geluksdag!
The coupon code has been sent to you through the email.,De coupon code via de e-mail naar u verzonden.
Better luck next time!,Volgende keer beter!
Don't forget to use the discount code at checkout!,Vergeet niet om de korting code te gebruiken bij de kassa!
Enter you email,Voer je e-mail
Try your luck,Probeer je geluk
Next Time,De volgende keer
"No, I do not feel lucky","Nee, ik voel me niet gelukkig"
Continue,Doorgaan met
Enable Theme Scheduling,Inschakelen Theme Scheduling
Add New Schedule,Add New Schedule
Select number of slices,Selecteer het aantal plakken
12 Slices,12 Slices
8 Slices,8 Slices
6 Slices,6 Slices
Select the number of slices to show.,Selecteer het aantal schijfjes te laten zien.
Slice Label,slice Label
Coupon Type,coupon Type
Coupon Value,coupon Value
Gravity (%),Gravity (%)
Fixed,Gemaakt
Percentage,Percentage
Free Shipping,Geen verzendkosten
Theme,Thema
Theme Peview,thema Peview
Wheel Design,Wheel Ontwerp
Wheel Peview,Wheel Peview
Wheel Color,wiel Kleur:
Change color of the wheel.,Verander de kleur van het wiel.
Wheel Text Color,Wheel Tekstkleur
Change text color of the wheel.,Verander tekstkleur van het wiel.
Wheel Background Color,Wheel Achtergrond Kleur
Change background color of wheel.,Verander achtergrondkleur van het wiel.
Font Color,Tekstkleur
Change font color of text on wheel.,Verander lettertype kleur van de tekst op het wiel.
Button Background Color,Knopachtergrond Kleur
Change background color of spin button.,Verander achtergrondkleur van spin-knop.
`Try your luck` Button Text Color,`Probeer uw luck` Knoptekst Kleur
Change font color of the front `Try your luck` button.,Change font color van de voorste `Probeer uw luck` knop.
"No, I do not feel lucky text color","Nee, ik voel me niet gelukkig tekstkleur"
"Change font color of No, I do not feel lucky text.","Verander tekstkleur van Nee, ik heb geen geluk tekst voelen."
Schedule Status,Schemastatus
Select Date,Selecteer een datum
Field cannot be empty.,Het gebied mag niet leeg zijn.
You can enter only numbers.,U kunt alleen cijfers invoeren.
Number should be greater than 0.,Nummer moet groter zijn dan 0.
Field cannot be greater than {#} characters.,Het gebied mag niet groter zijn dan {#} letters.
Field cannot be less than {#} character(s).,Het gebied kan niet lager zijn dan {#} teken (s) zijn.
Please enter Email.,Vul e-mail.
Please enter a valid Email.,Gelieve een geldig e-mailadres in te vullen.
Invalid date format.,Ongeldige datum.
Number is not in the valid range. It should be between {1} and {100},Nummer is niet in het geldige bereik. Het moet tussen {1} en {100}
Field should be numeric.,Veld moet numeriek zijn.
Field can have only upto two decimal values.,Het gebied kan alleen upto twee decimale waarden hebben.
Email cannot be greater than {#} characters.,E-mail kan niet groter zijn dan {#} letters.
Zip should not have special characters.,Zip mag geen speciale tekens.
Percentage should be in number.,Percentage moet zijn in aantal.
Percentage should be between 0 and 100.,Percentage moet tussen 0 en 100.
Size cannot be greater than {#} characters.,Grootte kan niet groter zijn dan {#} letters.
Color could not be greater than {#} characters.,Color kon niet groter zijn dan {#} letters.
Color is not valid.,Kleur is niet geldig.
Special characters are not allowed.,Speciale karakters zijn niet toegestaan.
Script tags are not allowed.,Script tags zijn niet toegestaan.
Style tags are not allowed.,Style tags zijn niet toegestaan.
Iframe tags are not allowed.,Iframe-tags zijn niet toegestaan.
Uploaded file is not an image.,Geüploade bestand is geen afbeelding.
Uploaded file size must be less than #d.,Geuploade bestandsgrootte moet kleiner zijn dan #d zijn.
Field should not contain HTML tags.,Het gebied mag geen HTML-tags bevatten.
You can enter only positive numbers.,U kunt alleen positieve getallen in te voeren.
`From Date` should be smaller than `To Date`,`Van invuldatum moet kleiner zijn dan` Om invuldatum te zijn
`From Date` already present in a slot.,`Uit invuldatum reeds in een sleuf.
`To Date` already present in a slot.,`Tot invuldatum reeds in een sleuf.
Coupon Display Options,Coupon Weergave-opties
Email Subject,E-mail onderwerp
Email Template,Email sjabloon
Email Content,email Content
Test Email,Test E-mail
Send Email,E-mail verzenden
Enable the Extension,Schakel de Extension
Show pull-out tab,Toon tab pull-out
Allow customer to hide/show popup,Laat de klant om te verbergen / tonen popup
Upload pull-out tab image,afbeelding uploaden pull-out tab
Only .png or .jpg file format accepted. File size should not be more than 2 MB.,Alleen .png of .jpg bestandsformaat geaccepteerd. Bestand mag niet meer dan 2 MB.
Display Logo,weergave van logo
Upload Logo,Upload Logo
Remove logo,Verwijder logo
Email Recheck,E-mail opnieuw controleren
Allow customer to provide coupon code more than one time.,Laat de klant om code bieden meer dan één keer.
Enable Wheel Sound,Inschakelen Wheel Sound
Allow sound on rotating the wheel.,Toestaan ​​geluid draaien van het wiel.
Show Fireworks,Toon Fireworks
Show fireworks after a customer wins.,Laat vuurwerk nadat een klant wint.
Show Customer Name,Toon Naam klant
Show First Name,Toon Voornaam
Show Last Name,Toon Achternaam
Show Both,Toon Beide
Show None,Show None
Show customer name on the front end,Laat naam van de klant op de front-end
Require Customer Name,Vereisen Klantnaam
Require First Name,Vereisen Voornaam
Require Last Name,Vereisen Achternaam
Require Both,vereisen Beide
Require None,vereisen None
Require customer name on the front end,Vereisen naam van de klant op de front-end
Wheel Display Interval,Wheel Weergave Interval
Days,dagen
Enter the display interval (in days) after which pop will show again (if not used).,"Voer het weergave-interval (in dagen), waarna pop weer zal laten zien (indien niet gebruikt)."
Show Progress Meter,Show Progress Meter
Progress Percentage,Progress Percentage
Enter the percentage of the progress meter.,Voer het percentage van de voortgang meter.
Progress Text,Progress Text
Enter the Text for the progress meter.,Voer de tekst voor de vooruitgang meter.
Custom CSS,Custom CSS
Add custom CSS code that you want to be executed on the front end,Voeg aangepaste CSS-code die u wilt worden uitgevoerd op de front-end
Custom JS,Custom JS
Add custom JS code that you want to be executed on the front end,Voeg aangepaste JS-code die u wilt worden uitgevoerd op de front-end
Enable Mailchimp,inschakelen Mailchimp
Mailchimp Api Key,MailChimp API Key
Mailchimp List,Mailchimp List
Select List,Select List
Enable Klaviyo,inschakelen Klaviyo
Klaviyo Api Key,Klaviyo Api Key
Klaviyo List,Klaviyo List
Enable Constant Contact,Inschakelen Constant Contact
Constant Contact Api Key,Constant Contact API Key
Constant Contact Api Token,Constant Contact Api Token
Constant Contact List,Constant Contact List
Please select atleast one page,Selecteer tenminste één pagina
Please select atleast one country,Selecteer tenminste één land
Field cannot be empty,Het gebied mag niet leeg
Total Coupons Generated,Totaal Coupons Generated
Total Coupons Unused,Totaal Coupons Ongebruikte
Total Coupons Used,Totaal Coupons Gebruikt
`Active Date` cannot be greater than `Inactive Date`,`Active invuldatum kan niet groter zijn dan` Inactieve invuldatum zijn
`From` Date cannot be greater than `To` Date,`From` datum kan niet groter zijn dan` To` Date
Date & Time should be greater than current date time.,Datum en tijd moet groter zijn dan de huidige datum tijd.
Total Generated,Totaal Generated
Till,Tot
Total Used,Totaal Gebruikt
Total Unused,Totaal Ongebruikte
Coupon Statistics (Graphical),Coupon Statistiek (Graphical)
Select date,Selecteer een datum
Generate,voortbrengen
Other Statistics,andere Statistieken
Country Statistics,Country Statistics
Device Statistics,Apparaatstatistieken
Coupons List,coupons List
Minimum Screen Size,Minimum Screen Size
Smartphone (320x480),Smartphone (320x480)
Tablet Portrait(768x1024),Tablet Portrait (768x1024)
Tablet Landscape (1024x768),Tablet Landschap (1024x768)
Laptop (1366x768),Laptop (1366x768)
Desktop(1600x1080),Bureaublad (1600x1080)
Smartphones only,alleen smartphones
Maximum Display Frequency,Maximale Display frequentie
Every Visit,elk bezoek
One Visit per hour,Één bezoek per uur
One visit per day,Één bezoek per dag
One visit per week,Één bezoek per week
One visit per month,Één bezoek per maand
Show Spin Wheel on the front end after the specified time,Toon Spin Wiel op de voorkant na de opgegeven tijd
Hide Spin Wheel After,Hide Spin Wheel Na
Always Display,altijd Weergave
10 Seconds,10 seconden
20 Seconds,20 seconden
30 Seconds,30 seconden
40 Seconds,40 Seconds
Choose the time interval after which the Spin Wheel on the front end will hide automatically,Kies het tijdsinterval waarna de Spin Wiel op de front-end automatisch verbergen
Set Fix Time,Set Fix Time
Active Date/Time,Active Date / Time
Expire Date/Time,Verlopen Datum / Tijd
Whom to show,Wie te tonen
All Visitors,alle bezoekers
New Visitors,nieuwe bezoekers
Returning Visitors,Terugkerende bezoekers
Select whom to show the popup.,Selecteer wie de pop-up te tonen.
When to Show,Wanneer naar Show
Immediately,Direct
After Time(seconds),After Time (sec)
When scroll down(%),Wanneer scroll naar beneden (%)
When Exit,wanneer Exit
Select when to display the popup.,Selecteer wanneer de pop-up weer te geven.
Enter time (In Seconds),Voer de tijd (in seconden)
Enter time in seconds after which you want to display spin wheel pop up.,Voer de tijd in seconden in waarna u wilt weergeven draai wiel pop-up.
Enter Scroll Percentage,Voer Scroll Percentage
Enter scroll percentage after which you want to display spin wheel pop up. Do no enter % sign.,Voer scroll percentage waarna u wilt weergeven draai wiel pop-up. Heeft geen voer% teken.
Geo Location,Geo Location
World Wide,Wereldwijd
Display selected areas only,Weergave geselecteerde gebieden alleen
Do not display selected areas,Laat geselecteerde gebieden niet weergeven
Select Geo Location where you want to show the popup.,Selecteer Geo locatie waar u de pop-up te tonen.
Select countries.,Bepaalde landen.
Title Text,Titel tekst
Subtitle Text,ondertitel Text
Rules Text,regels tekst
One rule should be entered in one line in order to show it on pop up point wise.,Een regel moet in één regel worden ingevoerd om het op te laten zien pop-up punt wijs.
Are your sure?,Weet je het zeker?
Please enter a valid color code,Geef een geldige kleurcode
`Active Date` cannot be greater than `Expire Date`,`Active invuldatum kan niet groter zijn dan` verlopen invuldatum zijn
The sum of Gravity is not in the valid range. It should be betwen 1 and 100. The total is: ,De som van Gravity is niet in het geldige bereik. Het moet ontlenen 1 en 100. Het totaal is:
No list exists for this API key.,Geen lijst bekend van deze API-sleutel.
No. of times,Aantal keren
Date,Datum
Please upload an image file.,Upload een beeldbestand.
Note: select time in GMT only.,Opmerking: selecteer de tijd slechts in GMT.
This slot is already available.,Dit slot is al beschikbaar.
