"Something went wrong while generating the coupon code, please try again.","Hiba történt a termelő a kupon kód, próbálja újra."
Schedule has been deleted successfully,Menetrend sikeresen törölve
Invalid Data.,Érvénytelen adat.
Add/Edit Schedule,Hozzáadása / szerkesztése ütemezése
Schedule has been saved successfully.,Menetrend sikeresen elmentve.
Email has been sent successfully.,E-mail sikeresen elküldtük.
"Something went wrong while sending the coupon email, please try again.","Hiba történt a küldés a kupon-mailt, kérjük, próbálja újra."
Spin and Win,Centrifugálás és a Win
Knowband,Knowband
Settings saved successfully.,Beállítások sikeresen elmentve.
New Customer,Új vevő
No list found. (Verify Credentials),Nem talált lista. (Ellenőrzése bizonyítványok)
The Private Klaviyo API Key you have set is invalid.,A Private Klaviyo API-kulcs van set érvénytelen.
The Private Klaviyo API key you have set is no longer valid.,A Private Klaviyo API kulcs van készlet már nem érvényes.
Unable to verify Klaviyo Private API Key.,Nem sikerült ellenőrizni Klaviyo Egyéni API kulcs.
Mobile,Mobil
Tablet,Tabletta
Desktop,Desktop
You have already taken advantage of this offer. Please try another email.,"Már kihasználták ezt az ajánlatot. Kérjük, próbálkozzon másik e-mailt."
Not your lucky day today. Better Luck Next Time.,Nem szerencsés nap ez a mai. Legközelebb több szerencsét.
Error occurred while subscribing. Please try again later.,"Hiba történt a feliratkozást. Kérlek, próbáld újra később."
Jan,január
Feb,Február
Mar,elront
Apr,április
May,Lehet
Jun,Június
Jul,Július
Aug,Augusztus
Sep,szeptember
Oct,Október
Nov,November
Dec,December
None,Egyik sem
Rose Day,Rose Day
Propose Day,Javaslatot Day
Chocolate Day,Csokoládé Day
Teddy Day,Teddy Day
Promise Day,Promise Day
Hug Day,Ölelés nap
Kiss Day,csók Day
Valentine\'s Day,Valentin nap
Xmas Theme 1,Xmas 1. téma
Xmas Theme 2,Xmas 2. téma
Merry Christmas - Theme 1,Merry Christmas - 1. téma
Merry Christmas - Theme 2,Merry Christmas - 2. téma
Merry Christmas - Theme 3,Merry Christmas - 3. téma
Merry Christmas - Theme 4,Merry Christmas - 4. téma
Merry Christmas - Theme 5,Merry Christmas - 5. téma
Black Friday Theme1,Black Friday THEME1
Black Friday Theme2,Black Friday THEME2
Black Friday Theme3,Black Friday Theme3
Black Friday Theme4,Black Friday Theme4
Diwali Theme1,Diwali THEME1
Diwali Theme2,Diwali THEME2
Diwali Theme3,Diwali Theme3
Diwali Theme4,Diwali Theme4
Diwali Theme5,Diwali Theme5
Easter Theme1,Easter THEME1
Easter Theme2,Easter THEME2
Easter Theme3,Easter Theme3
Halloween Theme1,Halloween THEME1
Halloween Theme2,Halloween THEME2
Halloween Theme3,Halloween Theme3
Halloween Theme4,Halloween Theme4
Thanks Giving Theme1,Hálaadás THEME1
Happy New Year Theme1,Happy New Year THEME1
Happy New Year Theme2,Happy New Year THEME2
Happy New Year Theme3,Happy New Year Theme3
Happy New Year Theme4,Happy New Year Theme4
Happy New Year Theme5,Happy New Year Theme5
Happy New Year Theme6,Happy New Year Theme6
Happy New Year Theme7,Happy New Year Theme7
Wheel Design 1,Wheel Design 1
Wheel Design 2,Wheel Design 2
Look and Feel,Nézz és érezz
General Settings,Általános beállítások
Display Settings,Megjelenítési beállítások
Theme Scheduling,téma ütemezése
Text Settings,szöveg beállításai
Special bonus unlocked,Különleges bónusz kinyitotta
You have a chance to win a nice big fat discount. Are you ready?,"Van egy esélyt, hogy nyerj egy szép nagy kövér kedvezmény. Kész vagy?"
"You can spin the wheel only once. If you win, you can claim your coupon for 1 day only!","Akkor forgasd meg a kereket csak egyszer. Ha nyersz, akkor azt állítják, a kupon 1 napig csak!"
Email Settings,E-mail beállítások
Only on wheel,Csak kerék
Email Only,csak e-mailben
Email & Wheel,E-mail és kerék
Fire,Tűz
Aqua,Aqua
Wind,Szél
Void,Üres
Earth,föld
Return Statuses,Vissza Státusok
Coupon Code,Kupon kód
Customer Email,Ügyfél e-mail
Country,Ország
Device,Eszköz
Coupon Used,Kupon Használt
No,Nem
Yes,Igen
Coupon Generated On,Kupon generált
Statistics,Statisztika
Email Marketing,E-mail marketing
User List,felhasználói lista
Status,Állapot
Enabled,Bekapcsolt
Disabled,Tiltva
From Date,Dátumtól
To Date,Randizni
Action,Akció
Slice Settings,szelet beállításai
10% OFF,10% KEDVEZMÉNY
Not Lucky Today,Nem szerencsés ma
35% OFF,35% OFF
Opps! Sorry,Hoppá! Sajnálom
15% OFF,15% OFF
Better Luck Next Time,Legközelebb több szerencsét
50% OFF,50% KEDVEZMÉNY
Try Next Time,Próbálja Next Time
12% OFF,12% OFF
Come Again,Újra eljön
5% OFF,5% OFF
Try Again,Próbáld újra
First Name,Keresztnév
Last Name,Vezetéknév
Email,Email
Created Date,Létrehozás dátuma
CSV,CSV
Edit,szerkesztése
Delete,Töröl
Save Schedule,időzítés mentése
Back,Vissza
Save Settings,Beállítások mentése
Email cannot be left blank,Az e-mailek nem maradhat üresen
Not a valid email,Nem érvényes email
a discount,kedvezmény
Code copied.,Kód másolni.
First name cannot be left blank,Első neve nem lehet üres
